{'R_i': 0.01,
 'h_fc': 0.005,
 'R_s': 0.1,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
45.0	21.000	1.170	0.008195
55.0	21.000	1.170	0.003162
35.0	22.000	1.170	0.062545
45.0	22.000	1.170	0.011636
55.0	22.000	1.170	0.004932
35.0	23.000	1.170	0.068619
45.0	23.000	1.170	0.014735
55.0	23.000	1.170	0.007475
35.0	24.000	1.170	0.072740
45.0	24.000	1.170	0.019364
55.0	24.000	1.170	0.010532
35.0	25.000	1.170	0.077627
45.0	25.000	1.170	0.024490
55.0	25.000	1.170	0.014272
35.0	15.000	1.180	0.031586
45.0	15.000	1.180	0.001330
55.0	15.000	1.180	0.001185
35.0	16.000	1.180	0.037146
45.0	16.000	1.180	0.001797
55.0	16.000	1.180	0.001921
35.0	17.000	1.180	0.041612
45.0	17.000	1.180	0.002578
55.0	17.000	1.180	0.002641
35.0	18.000	1.180	0.044405
45.0	18.000	1.180	0.003293
55.0	18.000	1.180	0.003812
35.0	19.000	1.180	0.048808
45.0	19.000	1.180	0.004989
55.0	19.000	1.180	0.000964
35.0	20.000	1.180	0.053491
45.0	20.000	1.180	0.006696
55.0	20.000	1.180	0.002034
35.0	21.000	1.180	0.059419
45.0	21.000	1.180	0.008954
55.0	21.000	1.180	0.003553
35.0	22.000	1.180	0.064001
45.0	22.000	1.180	0.012558
55.0	22.000	1.180	0.005473
35.0	23.000	1.180	0.070104
45.0	23.000	1.180	0.015787
55.0	23.000	1.180	0.008161
35.0	24.000	1.180	0.074218
45.0	24.000	1.180	0.020552
55.0	24.000	1.180	0.011346
35.0	25.000	1.180	0.079176
45.0	25.000	1.180	0.025800
55.0	25.000	1.180	0.015225
35.0	15.000	1.190	0.032676
45.0	15.000	1.190	0.001486
55.0	15.000	1.190	0.001419
35.0	16.000	1.190	0.038397
45.0	16.000	1.190	0.002004
55.0	16.000	1.190	0.002085
35.0	17.000	1.190	0.043046
45.0	17.000	1.190	0.002803
55.0	17.000	1.190	0.002859
35.0	18.000	1.190	0.045800
45.0	18.000	1.190	0.003665
55.0	18.000	1.190	0.004052
35.0	19.000	1.190	0.050532
45.0	19.000	1.190	0.005518
55.0	19.000	1.190	0.001155
35.0	20.000	1.190	0.055059
45.0	20.000	1.190	0.007356
55.0	20.000	1.190	0.002339
35.0	21.000	1.190	0.060954
45.0	21.000	1.190	0.009750
55.0	21.000	1.190	0.004008
35.0	22.000	1.190	0.065438
45.0	22.000	1.190	0.013503
55.0	22.000	1.190	0.006027
35.0	23.000	1.190	0.071584
45.0	23.000	1.190	0.016861
55.0	23.000	1.190	0.008865
35.0	24.000	1.190	0.075694
45.0	24.000	1.190	0.021759
55.0	24.000	1.190	0.012184
35.0	25.000	1.190	0.080724
45.0	25.000	1.190	0.027122
55.0	25.000	1.190	0.016202
35.0	15.000	1.200	0.033793
45.0	15.000	1.200	0.001614
