{'R_i': 0.015,
 'h_fc': 0.005,
 'R_o': 0.04,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 4,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'B_rem_II_1': 1.3999999999999999,
 'B_rem_II_2': 1.3999999999999999,
 'B_rem_IV_1': 1.3999999999999999,
 'B_rem_IV_2': 1.3999999999999999,
 'B_rem_IV_3': 1.3999999999999999,
 'B_rem_IV_4': 1.3999999999999999,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	R_s[mm]	K[]
55.0	19.000	1.160	100.000	0.001198
45.0	20.000	1.160	110.000	0.001536
55.0	20.000	1.160	125.000	0.001977
45.0	21.000	1.160	115.000	0.001337
55.0	21.000	1.160	105.000	0.001855
45.0	22.000	1.160	115.000	0.001854
55.0	22.000	1.160	145.000	0.001923
45.0	23.000	1.160	120.000	0.001820
55.0	23.000	1.160	150.000	0.002086
45.0	24.000	1.160	125.000	0.001717
55.0	24.000	1.160	150.000	0.002564
45.0	25.000	1.160	130.000	0.001884
55.0	25.000	1.160	150.000	0.003292
45.0	15.000	1.170	100.000	0.001238
55.0	15.000	1.170	100.000	0.001604
45.0	16.000	1.170	100.000	0.001749
55.0	16.000	1.170	90.000	0.001369
45.0	17.000	1.170	105.000	0.001254
55.0	17.000	1.170	110.000	0.001684
45.0	18.000	1.170	105.000	0.001850
55.0	18.000	1.170	95.000	0.001904
45.0	19.000	1.170	110.000	0.001664
55.0	19.000	1.170	100.000	0.001404
45.0	20.000	1.170	110.000	0.001790
55.0	20.000	1.170	130.000	0.001780
45.0	21.000	1.170	115.000	0.001479
55.0	21.000	1.170	135.000	0.001916
45.0	22.000	1.170	120.000	0.001515
55.0	22.000	1.170	110.000	0.001691
45.0	23.000	1.170	120.000	0.001870
55.0	23.000	1.170	150.000	0.002222
45.0	24.000	1.170	125.000	0.001813
55.0	24.000	1.170	150.000	0.002690
45.0	25.000	1.170	130.000	0.001832
55.0	25.000	1.170	150.000	0.003500
45.0	15.000	1.180	100.000	0.001264
55.0	15.000	1.180	100.000	0.001709
45.0	16.000	1.180	105.000	0.001315
55.0	16.000	1.180	90.000	0.001670
45.0	17.000	1.180	105.000	0.001394
55.0	17.000	1.180	95.000	0.001032
45.0	18.000	1.180	110.000	0.001307
55.0	18.000	1.180	115.000	0.001982
45.0	19.000	1.180	110.000	0.001642
55.0	19.000	1.180	100.000	0.001675
45.0	20.000	1.180	115.000	0.001202
55.0	20.000	1.180	105.000	0.001350
45.0	21.000	1.180	115.000	0.001607
55.0	21.000	1.180	140.000	0.001824
45.0	22.000	1.180	120.000	0.001607
55.0	22.000	1.180	110.000	0.001919
45.0	23.000	1.180	125.000	0.001524
55.0	23.000	1.180	150.000	0.002304
45.0	24.000	1.180	125.000	0.001830
55.0	24.000	1.180	150.000	0.002849
45.0	25.000	1.180	130.000	0.001888
55.0	25.000	1.180	150.000	0.003540
45.0	15.000	1.190	100.000	0.001379
55.0	15.000	1.190	90.000	0.000839
45.0	16.000	1.190	105.000	0.001251
55.0	16.000	1.190	90.000	0.001988
45.0	17.000	1.190	105.000	0.001694
55.0	17.000	1.190	95.000	0.001222
45.0	18.000	1.190	110.000	0.001496
55.0	18.000	1.190	100.000	0.000998
45.0	19.000	1.190	110.000	0.001883
55.0	19.000	1.190	100.000	0.001959
45.0	20.000	1.190	115.000	0.001357
55.0	20.000	1.190	105.000	0.001505
45.0	21.000	1.190	115.000	0.001833
55.0	21.000	1.190	140.000	0.001923
45.0	22.000	1.190	120.000	0.001622
55.0	22.000	1.190	150.000	0.002091
45.0	23.000	1.190	125.000	0.001486
55.0	23.000	1.190	150.000	0.002435
45.0	24.000	1.190	130.000	0.001570
55.0	24.000	1.190	150.000	0.003051
45.0	25.000	1.190	135.000	0.001705
55.0	25.000	1.190	150.000	0.003975
45.0	15.000	1.200	100.000	0.001533
55.0	15.000	1.200	90.000	0.001008
45.0	16.000	1.200	105.000	0.001303
55.0	16.000	1.200	110.000	0.001650
45.0	17.000	1.200	105.000	0.001883
55.0	17.000	1.200	95.000	0.001495
45.0	18.000	1.200	110.000	0.001560
55.0	18.000	1.200	100.000	0.001153
45.0	19.000	1.200	115.000	0.001203
55.0	19.000	1.200	130.000	0.001824
45.0	20.000	1.200	115.000	0.001538
55.0	20.000	1.200	105.000	0.001754
45.0	21.000	1.200	120.000	0.001352
55.0	21.000	1.200	110.000	0.001557
45.0	22.000	1.200	120.000	0.001814
55.0	22.000	1.200	150.000	0.002195
45.0	23.000	1.200	125.000	0.001642
55.0	23.000	1.200	150.000	0.002588
45.0	24.000	1.200	130.000	0.001665
55.0	24.000	1.200	150.000	0.003234
45.0	25.000	1.200	135.000	0.001765
55.0	25.000	1.200	150.000	0.004163

