{'R_i': 0.015,
 'h_fc': 0.005,
 'R_s': 0.11,
 'R_o': 0.05,
 'R_e': 0.3,
 'n_II': 2,
 'n_IV': 3,
 'phi_C_II': 15,
 'mu_r_II': 1.05,
 'mu_r_IV': 1.05,
 'linear_iron': 1,
 'mu_r_iron': 5000.0,
 'F_M[%]': 35.0}

phi_S[deg]	h_gap[mm]	B_max[T]	K[]
55.0	18.000	1.190	0.542
35.0	19.000	1.190	2.453
45.0	19.000	1.190	0.198
55.0	19.000	1.190	0.643
35.0	20.000	1.190	2.883
45.0	20.000	1.190	0.294
55.0	20.000	1.190	0.131
35.0	21.000	1.190	3.061
45.0	21.000	1.190	0.396
55.0	21.000	1.190	0.222
35.0	22.000	1.190	3.200
45.0	22.000	1.190	0.553
55.0	22.000	1.190	0.344
35.0	23.000	1.190	3.385
45.0	23.000	1.190	0.704
55.0	23.000	1.190	0.487
35.0	24.000	1.190	3.577
45.0	24.000	1.190	0.929
55.0	24.000	1.190	0.663
35.0	25.000	1.190	3.819
45.0	25.000	1.190	1.161
55.0	25.000	1.190	0.862
35.0	15.000	1.200	1.966
45.0	15.000	1.200	0.127
55.0	15.000	1.200	0.324
35.0	16.000	1.200	2.078
45.0	16.000	1.200	0.124
55.0	16.000	1.200	0.395
35.0	17.000	1.200	2.186
45.0	17.000	1.200	0.125
55.0	17.000	1.200	0.478
35.0	18.000	1.200	2.336
45.0	18.000	1.200	0.171
55.0	18.000	1.200	0.569
35.0	19.000	1.200	2.524
45.0	19.000	1.200	0.224
55.0	19.000	1.200	0.084
35.0	20.000	1.200	2.950
45.0	20.000	1.200	0.329
55.0	20.000	1.200	0.153
35.0	21.000	1.200	3.126
45.0	21.000	1.200	0.438
55.0	21.000	1.200	0.252
35.0	22.000	1.200	3.269
45.0	22.000	1.200	0.604
55.0	22.000	1.200	0.382
35.0	23.000	1.200	3.459
45.0	23.000	1.200	0.761
55.0	23.000	1.200	0.533
35.0	24.000	1.200	3.655
45.0	24.000	1.200	0.994
